
> badminton-web@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://10.15.75.70:3000
- Environments: .env
✓ Ready in 2.2s

○ Compiling / ...
 GET / 200 in 10.5s (next.js: 6.8s, proxy.ts: 453ms, application-code: 3.3s)
 GET /api/docs 200 in 1879ms (next.js: 1796ms, proxy.ts: 35ms, application-code: 48ms)
 GET /dashboard 200 in 6.4s (next.js: 2.7s, proxy.ts: 81ms, application-code: 3.6s)
 GET /api/events?page=1&pageSize=50 200 in 5.0s (next.js: 3.4s, proxy.ts: 23ms, application-code: 1602ms)
 GET /api/sessions?page=1&pageSize=50 200 in 5.4s (next.js: 3.4s, proxy.ts: 22ms, application-code: 1979ms)
 GET /groups 200 in 4.1s (next.js: 3.0s, proxy.ts: 46ms, application-code: 1058ms)
 GET /api/events?page=1&pageSize=50 200 in 3.0s (next.js: 2.6s, proxy.ts: 26ms, application-code: 376ms)
 GET /api/sessions?page=1&pageSize=50 200 in 4.6s (next.js: 2.6s, proxy.ts: 26ms, application-code: 1950ms)
 GET /api/sessions?page=1&pageSize=10 200 in 578ms (next.js: 12ms, proxy.ts: 13ms, application-code: 553ms)
 GET /api/announcements?page=1&pageSize=10 200 in 2.5s (next.js: 1971ms, proxy.ts: 16ms, application-code: 492ms)
 GET /api/events?page=1&pageSize=10 200 in 656ms (next.js: 26ms, proxy.ts: 21ms, application-code: 609ms)
 GET /api/events?page=1&pageSize=50 200 in 380ms (next.js: 67ms, proxy.ts: 26ms, application-code: 286ms)
 GET /api/sessions?page=1&pageSize=50 200 in 2.5s (next.js: 38ms, proxy.ts: 28ms, application-code: 2.4s)
 GET / 200 in 753ms (next.js: 283ms, proxy.ts: 16ms, application-code: 454ms)
 GET / 200 in 651ms (next.js: 16ms, proxy.ts: 29ms, application-code: 607ms)
 GET / 200 in 155ms (next.js: 9ms, proxy.ts: 16ms, application-code: 129ms)
 GET / 200 in 465ms (next.js: 12ms, proxy.ts: 25ms, application-code: 428ms)
 GET / 200 in 171ms (next.js: 7ms, proxy.ts: 15ms, application-code: 149ms)
 GET / 200 in 592ms (next.js: 23ms, proxy.ts: 62ms, application-code: 507ms)
 GET / 200 in 1039ms (next.js: 378ms, proxy.ts: 22ms, application-code: 638ms)
 GET / 200 in 543ms (next.js: 6ms, proxy.ts: 48ms, application-code: 488ms)
 GET / 200 in 848ms (next.js: 207ms, proxy.ts: 18ms, application-code: 623ms)
